Symbol,logFC,logCPM,PValue,FDR
Gat,-2.141035719,4.869352107,1.16E-11,4.39E-10
Oseg2,-1.313824059,6.439467196,1.23E-11,4.63E-10
beat-Ia,-2.432787387,3.471045138,1.27E-11,4.78E-10
smog,-1.405606681,6.385305509,1.28E-11,4.79E-10
CG13133,1.134924886,9.290266541,1.39E-11,5.17E-10
Cpr67B,1.175113145,9.662085661,1.44E-11,5.35E-10
acj6,-1.584107599,5.567488125,1.52E-11,5.62E-10
CG31221,-1.211291109,9.051474599,1.98E-11,7.30E-10
CG8861,2.739974418,1.716648177,2.06E-11,7.55E-10
CG40485,-3.004363346,0.993470919,2.14E-11,7.82E-10
CG12885,-1.235048135,6.746116986,2.16E-11,7.87E-10
CG32447,-2.555238319,3.820234262,2.55E-11,9.25E-10
CG11191,-1.154557846,8.268089938,2.56E-11,9.25E-10
nAChRbeta1,2.491027951,1.957510616,2.61E-11,9.39E-10
CG6282,-1.270046691,6.727557123,2.66E-11,9.53E-10
CG14694,2.299441933,4.896951452,2.79E-11,9.95E-10
CG13928,-1.103164486,8.430142797,2.90E-11,1.03E-09
pst,1.126321244,8.292348183,3.13E-11,1.11E-09
Ude,-1.44300177,6.248180461,3.78E-11,1.33E-09
Epac,-1.47539025,5.711850218,4.40E-11,1.55E-09
CG30203,1.605685524,5.236819809,4.42E-11,1.55E-09
ssp6,-1.898726135,4.688486087,4.68E-11,1.63E-09
nSyb,-1.11228126,9.547439771,5.13E-11,1.78E-09
CG4928,-1.132718718,9.750120067,6.87E-11,2.38E-09
form3,1.161623054,7.398158299,7.03E-11,2.43E-09
CG1358,-1.144335753,7.347541756,7.14E-11,2.46E-09
Gdap1,-1.623928823,5.473035361,7.67E-11,2.63E-09
CG43165,-3.150271283,1.766978444,9.35E-11,3.20E-09
CG3556,-1.073943039,9.081858488,1.05E-10,3.57E-09
Mdr49,1.615548589,5.452827726,1.09E-10,3.71E-09
CG14142,1.138600304,9.53119462,1.19E-10,4.03E-09
noe,-1.134190168,8.308732829,1.39E-10,4.68E-09
CG42806,-1.401462506,5.828806188,1.64E-10,5.51E-09
