Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
CG17667,-0.372797825,6.144250826,0.033102697,0.111005853,CG42709,FBgn0261674
CG1236,0.440490333,4.804322966,0.033143647,0.111101933,CG1236,FBgn0037370
ERp60,0.34732495,8.693977841,0.033164242,0.11110795,ERp60,FBgn0033663
CG18432,-0.805083426,3.352645389,0.03317004,0.11110795,CG43370,FBgn0263113
PyK,0.341999376,10.37484867,0.033258,0.111361294,PyK,FBgn0267385
Pax,0.399264178,6.118234862,0.033323519,0.11150861,Pax,FBgn0041789
CG12194,0.341636621,5.802317383,0.033326682,0.11150861,CG12194,FBgn0031636
Tab2,-0.362580398,6.132361396,0.033448314,0.111874145,Tab2,FBgn0086358
CG10732,0.459716289,5.332948007,0.033469665,0.111895135,CG10732,FBgn0036365
GalNAc-T1,-0.478662283,4.791476985,0.033479361,0.111895135,GalNAc-T1,FBgn0034025
mre11,0.5546976,3.970704811,0.033539605,0.112022831,mre11,FBgn0020270
Sirt6,-1.325741062,1.58809318,0.033551372,0.112022831,Sirt6,FBgn0037802
sec15,-0.358586629,5.682369907,0.033554769,0.112022831,Sec15,FBgn0266674
Zasp,0.652657327,5.949344885,0.033576195,0.112052955,Zasp52,FBgn0265991
CG32104,0.396479055,7.956839078,0.03368219,0.112360069,CG32104,FBgn0052104
CG12910,-0.708820776,3.465444813,0.033693096,0.112360069,CG12910,FBgn0033502
CG4196,0.341808823,6.07606206,0.033817401,0.11273299,CG42542,FBgn0260659
CG11885,0.719409351,3.394258202,0.033856799,0.112822693,CG11885,FBgn0031253
CG4570,1.318728187,0.573807692,0.033914916,0.112974688,CG4570,FBgn0037844
TpnC25D,0.894258464,3.803297908,0.033963574,0.11309507,TpnC25D,FBgn0031692
CadN2,-1.383219447,1.337037808,0.034035832,0.113293923,"CadN2 , CG42830","FBgn0262018 , FBgn0262017"
CG1746,-0.353215595,10.68173662,0.034062032,0.113310642,CG1746,FBgn0039830
sas,0.364652305,6.093180448,0.03406594,0.113310642,sas,FBgn0002306
PGRP-LB,0.366099533,7.105615848,0.034084975,0.113332228,PGRP-LB,FBgn0037906
Gs1l,0.334549752,7.189772078,0.03419467,0.113655133,Gs1l,FBgn0019982
CG30284,-1.063144642,1.316563094,0.03421604,0.113684333,CG30284,FBgn0050284
Egfr,0.367972025,6.44471123,0.034241694,0.113727743,Egfr,FBgn0003731
DNApol-epsilon,-0.609453842,3.415810201,0.034311885,0.11391899,DNApol-epsilon,FBgn0264326
CG1969,0.404142453,5.055762585,0.034398234,0.114163721,CG1969,FBgn0039690
CG34453,-1.434566022,0.590061611,0.034548197,0.114619322,CG34453,FBgn0085482
RhoGAP93B,-0.331050522,6.077996232,0.034584669,0.114698201,RhoGAP93B,FBgn0038853
CG8549,0.533910373,3.960107454,0.034606668,0.114729041,CG8549,FBgn0035714
CG8291,-0.348767684,6.329250537,0.034647284,0.114821556,bdg,FBgn0034049
pix,0.329770238,7.873051932,0.034727297,0.115044519,pix,FBgn0086706
CG16974,-0.323102567,7.964785928,0.034753439,0.115088917,CG16974,FBgn0032479
CG32662,-0.357986886,6.495431174,0.034859815,0.115363249,rudhira,FBgn0266019
RpS12,0.349832351,8.804204336,0.034861819,0.115363249,RpS12,FBgn0260441
CG34349,-0.340457455,6.228270582,0.034911218,0.115484416,Unc-13-4B,FBgn0266719
CG11505,-0.3952201,6.343262462,0.034958299,0.115597832,CG11505,FBgn0035424
osp,0.337355246,8.332834792,0.035090917,0.115993907,osp,FBgn0003016
CG7183,-0.448516142,4.634108104,0.035124234,0.116061569,CG7183,FBgn0038583
CG8237,0.463322905,4.669029881,0.035180737,0.116169569,CG8237,FBgn0033350
CG5079,0.521071103,4.549541796,0.035182637,0.116169569,CG5079,FBgn0039346
mun,-0.390910194,7.285049087,0.035260779,0.116385048,Gfrl,FBgn0262869
Or7a,0.370956665,6.236272352,0.035283874,0.116418743,Or7a,FBgn0030016
granny-smith,0.379340427,5.538836198,0.035370452,0.116661796,grsm,FBgn0040493
CG5050,-0.749135433,3.38118236,0.035441261,0.116852684,CG5050,FBgn0032637
CG12608,0.461393796,4.504123828,0.035609905,0.117365882,CG12608,FBgn0030630
CG14509,-0.305278803,6.854698745,0.035696854,0.117595802,CG14509,FBgn0039647
Syn1,-0.41861211,5.066798896,0.035705699,0.117595802,Syn1,FBgn0037130
hang,-0.43069392,6.023447896,0.035805918,0.117882895,hang,FBgn0026575
CG10882,0.31307587,7.249037737,0.035892469,0.118084887,Sec24CD,FBgn0262126
CG8029,-0.34572012,9.595556735,0.035893414,0.118084887,VhaAC45,FBgn0262515
slim,-0.319934407,6.557128533,0.035910882,0.118099347,slim,FBgn0261477
CG4749,-0.80572868,3.015661348,0.036000094,0.118303637,CG4749,FBgn0031308
CG12375,0.362647945,5.328202218,0.036007429,0.118303637,CG12375,FBgn0031987
CG5146,-0.438896566,5.022666098,0.036012287,0.118303637,l(3)psg2,FBgn0035617
CG5602,-0.652205865,3.407278837,0.03606934,0.11844799,DNA-ligI,FBgn0262619
Ctr1B,-0.692837241,3.619481808,0.036090241,0.118473559,Ctr1B,FBgn0062412
B-H2,-0.463407904,5.519170576,0.036270695,0.119014202,B-H2,FBgn0004854
CG6923,0.317949199,6.067627262,0.036289685,0.119014202,CG6923,FBgn0037944
CG15673,0.883411087,2.642332116,0.036296194,0.119014202,CG15673,FBgn0034639
lectin-28C,1.573159782,0.97065506,0.036307631,0.119014202,lectin-28C,FBgn0040099
CG9853,0.398480409,5.259760439,0.036361653,0.11914805,CG9853,FBgn0086605
CkIIalpha-i3,-0.661763584,3.284450522,0.036415134,0.119280029,CkIIalpha-i3,FBgn0025676
wfs1,0.453398,4.612972068,0.036463722,0.119395891,wfs1,FBgn0039003
CG13957,0.505083176,4.426959912,0.036572595,0.119708994,CG13957,FBgn0030739
fs-1-Ya,-1.66309743,0.553653024,0.036586793,0.119712092,fs(1)Ya,FBgn0000927
sut1,0.420059156,5.046037676,0.036726577,0.120125958,sut1,FBgn0028563
CG15072,-0.45854919,4.915754867,0.036849422,0.120450147,Sik3,FBgn0262103
CG5023,1.023884153,3.509916413,0.036852358,0.120450147,CG5023,FBgn0038774
GlyP,0.353300606,8.307531632,0.037064342,0.12109919,GlyP,FBgn0004507
CG1492,-0.512126745,4.064255064,0.03712965,0.121268711,CG1492,FBgn0030361
CG9104,0.428178636,4.874836518,0.037275227,0.12170018,CG9104,FBgn0030800
santa-maria,-0.622433936,5.871821095,0.037290004,0.121704443,santa-maria,FBgn0025697
CG5862,0.346650459,5.655377765,0.037355964,0.121875689,CG5862,FBgn0038868
CG3999,1.701457203,0.397839548,0.037482273,0.122243629,CG3999,FBgn0037801
CG5261,-0.359524216,7.874310436,0.037497696,0.122249795,CG5261,FBgn0031912
ST6Gal,0.448250111,5.116803718,0.037539328,0.122302949,ST6Gal,FBgn0035050
CG31800,-0.478089535,4.516271871,0.037541076,0.122302949,CG31800,FBgn0051800
CG30055,-0.463934986,4.789609231,0.037572556,0.122361382,CR30055,FBgn0050055
CG1812,-0.385645872,5.181900782,0.037612937,0.122448748,CG1812,FBgn0031119
CG8007,-0.495828355,4.491207437,0.037721377,0.122757536,5-HT2B,FBgn0261929
side,0.812826856,2.401279655,0.037737793,0.122766735,side,FBgn0016061
CG5728,-0.506015955,4.54320121,0.037776729,0.122849162,CG5728,FBgn0039182
CG9171,-0.464031199,5.047012455,0.03790817,0.123232244,CG9171,FBgn0031738
CG1908,0.409951584,4.991996062,0.03796069,0.123358589,Lint-1,FBgn0030274
Srp72,0.350292839,5.543923464,0.038008165,0.123468452,Srp72,FBgn0038810
CG9965,-0.64693669,4.372294825,0.038042974,0.123537106,Shab,FBgn0262593
dro4,0.990317646,3.606609701,0.038091898,0.123626829,Drsl4,FBgn0052282
mRpL39,-0.563411869,3.744103865,0.038097973,0.123626829,mRpL39,FBgn0036462
CG32225,0.357143669,5.660391271,0.038118227,0.123648137,CG32225,FBgn0052225
mRNA-capping-enzyme,0.337367432,6.039876231,0.038144092,0.123676546,mRNA-cap,FBgn0030556
Duox,0.796183162,3.026319628,0.038171436,0.123676546,Duox,FBgn0031464
CG31817,-1.520388541,1.007962964,0.038173595,0.123676546,CG31817,FBgn0028899
H15,-0.409107147,6.548984262,0.038181745,0.123676546,H15,FBgn0016660
CG10638,0.329693702,7.627675901,0.038297557,0.124007216,CG10638,FBgn0036290
CG5359,-0.667181333,3.223164935,0.038346928,0.124122589,CG5359,FBgn0037773
blw,-0.353069141,10.68673835,0.038374299,0.124166697,blw,FBgn0011211
CG14804,-0.315980629,6.575718993,0.038455286,0.124384193,Vps26,FBgn0014411
CG18549,0.315662557,6.177492102,0.03853974,0.124612745,CG18549,FBgn0038053
CG34200,-0.429584151,4.897064397,0.038665216,0.12493795,CG34200,FBgn0085229
CG1397,0.572560564,3.732695168,0.038667978,0.12493795,rtv,FBgn0261277
CG1632,-1.110972257,1.18547892,0.038711847,0.125034976,CG1632,FBgn0030027
CG15627,-0.32782675,8.126838198,0.038811,0.12527573,Ir25a,FBgn0031634
Crc,0.32507428,9.523468367,0.038818308,0.12527573,Crc,FBgn0005585
CG5001,0.545576676,4.433690085,0.038827988,0.12527573,CG5001,FBgn0031322
CG7084,-0.834641422,2.266696971,0.038959448,0.12557825,CG7084,FBgn0038938
miple,-0.63847508,3.408106138,0.038969288,0.12557825,miple,FBgn0027111
CG31370,0.639380418,3.746377726,0.038979526,0.12557825,CG31370,FBgn0051370
CG5377,-0.499136371,4.126908737,0.039001157,0.12557825,CG5377,FBgn0038974
NtR,1.300267465,2.378055534,0.039002931,0.12557825,NtR,FBgn0029147
CG32776,-0.676344939,3.750894039,0.039005155,0.12557825,CG42541,FBgn0260658
CG11723,0.508996987,4.468748729,0.039066327,0.125685308,CG11723,FBgn0031391
CG15120,0.693814015,3.211517235,0.039074509,0.125685308,CG15120,FBgn0034454
Trf,0.821974307,2.439269876,0.039080145,0.125685308,Trf,FBgn0010287
Cdk4,-0.412242904,4.876072497,0.039102789,0.12571338,Cdk4,FBgn0016131
CG17121,0.415519358,5.172055598,0.039140621,0.125754051,CG17121,FBgn0039043
26-29-p,0.29783337,7.014035046,0.03914328,0.125754051,26-29-p,FBgn0250848
CG14785,-0.866790414,2.730747209,0.039175204,0.12581187,CG14785,FBgn0027795
CG6854,-0.313681904,6.271355393,0.039210788,0.125881399,"CG45071 , CTPsyn","FBgn0266441 , FBgn0266452"
Gr66a,0.90996803,2.13022602,0.039274348,0.126040661,Gr66a,FBgn0035870
ball,0.629384293,3.4383708,0.039311173,0.126114041,ball,FBgn0027889
RpL36,0.330167546,9.664844123,0.039362345,0.126233377,RpL36,FBgn0002579
rdgC,-0.33979261,6.232149776,0.039377647,0.126237637,rdgC,FBgn0265959
CG9144,0.514254156,4.042529369,0.039450305,0.126425703,Fbw5,FBgn0031773
CG30187,-1.175535438,1.124144066,0.039478141,0.126470044,CG30187,FBgn0050187
CG31523,0.351240611,7.349396417,0.039594958,0.126799308,CG31523,FBgn0051523
danr,1.133555008,1.619514899,0.039630449,0.126867993,danr,FBgn0039283
N,-0.50876738,4.478220898,0.039654541,0.12690015,N,FBgn0004647
CG13625,-0.564004993,4.055923062,0.039682378,0.126912347,CG13625,FBgn0039210
CG17707,-1.147281256,1.183078294,0.039686449,0.126912347,CG17707,FBgn0025835
bsk,-0.297166866,6.883416814,0.039797958,0.127223905,bsk,FBgn0000229
Obp8a,0.59712005,3.699998936,0.039901987,0.127511337,Obp8a,FBgn0030103
CG17646,-0.324379293,6.694687128,0.039953109,0.127629558,CG17646,FBgn0264494
CG2017,0.345345286,7.11544517,0.039971347,0.127642682,CG2017,FBgn0037391
CG13924,-0.906411554,2.161465197,0.040001394,0.127661548,CG13924,FBgn0035286
Mipp1,0.321915221,8.428144155,0.040005517,0.127661548,Mipp1,FBgn0026061
CG6707,-0.304964635,6.892618554,0.040070938,0.127825161,CG6707,FBgn0036058
RNaseP-RNA,-0.784820469,3.067438425,0.040128207,0.127962663,RNaseP:RNA,FBgn0046696
CG10221,0.3282766,5.891285466,0.04019156,0.128116575,Hrd3,FBgn0028475
CG17556,-0.646651688,3.583791817,0.040206761,0.128116575,CG17556,FBgn0038462
CG10038,0.4973038,4.092339074,0.040219018,0.128116575,CG10038,FBgn0038013
Lkr,-1.774083724,0.138312179,0.040235109,0.128122655,Lkr,FBgn0035610
CG17141,0.649856568,3.404975633,0.040394321,0.128584318,CG17141,FBgn0039020
alpha-Est1,0.329753723,9.306838651,0.040440853,0.128637553,alpha-Est1,FBgn0015568
Ciao1,0.314888013,5.889586229,0.040463307,0.128637553,Ciao1,FBgn0033972
CG40439,-0.456768423,4.688077793,0.040467374,0.128637553,CG40439,FBgn0058439
CG9743,0.348793324,5.802218608,0.040468002,0.128637553,CG9743,FBgn0039756
CG4660,0.56074545,4.03614643,0.040511464,0.128730413,CG4660,FBgn0029839
hdm,1.12888762,1.40573973,0.040534626,0.128758724,hdm,FBgn0029977
CG1673,1.837679381,1.852632954,0.040592377,0.128896848,CG1673,FBgn0030482
CG18600,-0.603651389,3.678734124,0.040643028,0.128900794,CG18600,FBgn0038601
sofe,-0.998909473,1.989241074,0.040646326,0.128900794,sofe,FBgn0030242
sinu,-0.325262564,5.91040583,0.040662941,0.128900794,sinu,FBgn0010894
rg,-0.408127142,7.54609604,0.040664936,0.128900794,rg,FBgn0266098
ade2,0.388890908,5.218566229,0.040664962,0.128900794,ade2,FBgn0000052
CG31121,0.615930343,3.560791974,0.040736014,0.12905228,CG31121,FBgn0051121
Galpha49B,-0.306776628,6.319961729,0.040741322,0.12905228,Galphaq,FBgn0004435
Ahcy13,0.311900736,5.912503402,0.040799318,0.129190689,Ahcy13,FBgn0014455
CG31156,-0.497949724,4.187484995,0.040862111,0.129344189,CG31156,FBgn0051156
Sur,1.288173519,0.875397859,0.040940763,0.129509796,Sur,FBgn0028675
C3G,-0.372090614,6.360583376,0.040943101,0.129509796,C3G,FBgn0259228
CG3225,0.661307355,3.279620291,0.041023074,0.129717344,CG3225,FBgn0031631
Spn5,-0.338099708,8.048164694,0.04111057,0.129948525,Spn88Ea,FBgn0028984
CG34127,-0.618693485,3.5825265,0.041197329,0.130177218,CG34127,FBgn0083963
Or43a,0.372444087,5.759748302,0.041276358,0.130381336,Or43a,FBgn0026389
Dref,-0.37806245,5.217315123,0.041295896,0.130397458,Dref,FBgn0015664
CG5859,0.446258752,4.812069254,0.04138559,0.130606944,IntS8,FBgn0025830
RfC3,-1.073506146,2.268619192,0.041391154,0.130606944,RfC3,FBgn0032244
phyl,-0.310040748,6.516638254,0.041433442,0.130694733,phyl,FBgn0013725
CG6014,0.506161951,5.296606684,0.041505428,0.130876063,rgn,FBgn0261258
Rbm13,0.517357533,4.137726513,0.041519902,0.130876063,Rbm13,FBgn0030067
Pxn,0.961053739,2.881393026,0.041552722,0.13093383,Pxn,FBgn0011828
ppk7,1.224503018,1.029398345,0.041622134,0.131106821,ppk7,FBgn0031802
Odc1,1.410374017,2.187800532,0.041731564,0.1314057,Odc1,FBgn0013307
Teh1,-0.584994443,4.157670583,0.041747695,0.131410689,Teh1,FBgn0037766
Mtch,0.318931653,6.522445142,0.041778786,0.13146275,Mtch,FBgn0027786
Gpi1,-0.803993981,2.358222082,0.041817825,0.131520232,Gpi1,FBgn0086448
Spase22-23,0.35778249,5.283127121,0.041826171,0.131520232,Spase22-23,FBgn0039172
CG10565,0.375542225,6.509314655,0.041879672,0.131642643,CG10565,FBgn0037051
CG34325,0.37359866,5.557870668,0.041905972,0.131679497,CG34325,FBgn0085354
mRpS2,0.497113799,4.064461727,0.041979602,0.131864996,mRpS2,FBgn0031639
dbo,-0.315717987,5.917715271,0.042004385,0.131896981,dbo,FBgn0040230
Pka-C3,-0.315025243,6.187079425,0.042046791,0.131984262,Pka-C3,FBgn0000489
Syn2,-0.371076604,6.83688141,0.042360272,0.13292209,Syn2,FBgn0034135
CG32425,-0.318492945,6.087200763,0.04240935,0.132994816,CG32425,FBgn0052425
SerT,0.381518361,8.974979897,0.042412892,0.132994816,SerT,FBgn0010414
Rab27,1.240764108,1.331989884,0.042451226,0.133068833,Rab27,FBgn0025382
IP3K1,0.488120896,4.340461484,0.042504102,0.133188365,IP3K1,FBgn0032147
CG4585,0.399449275,5.980511189,0.042536469,0.133240721,CG4585,FBgn0025335
e,0.905586491,1.900252606,0.042560528,0.133240721,e,FBgn0000527
CG13369,0.380653317,5.260822643,0.042565056,0.133240721,CG13369,FBgn0025640
CG30372,0.314828106,7.548448683,0.042643831,0.133441069,Asap,FBgn0050372
Mcm2,-1.102346828,1.845340278,0.042659114,0.133442673,Mcm2,FBgn0014861
CG5160,1.314306925,1.536210578,0.042712928,0.133533091,CG5160,FBgn0031906
MED28,0.512503279,3.946822773,0.042717582,0.133533091,MED28,FBgn0039337
CG9890,0.553481309,3.882235986,0.042770895,0.1336535,CG9890,FBgn0034814
Cpr65Au,-0.871641254,6.504446696,0.042895644,0.133996975,Cpr65Au,FBgn0042119
CG3731,-0.313150131,9.162492537,0.042959008,0.134132686,CG3731,FBgn0038271
CG10508,-0.336312999,7.058307469,0.042983276,0.134132686,CG10508,FBgn0037060
Past1,0.310523904,7.294029858,0.042983631,0.134132686,Past1,FBgn0016693
14-3-3zeta,-0.312286629,10.21719157,0.043066209,0.134325878,14-3-3zeta,FBgn0004907
kis,-0.362483867,8.829848275,0.043075279,0.134325878,kis,FBgn0266557
Df31,-0.401614529,6.828760271,0.043132,0.134433422,Df31,FBgn0022893
CG6428,0.403997582,5.0914551,0.043139528,0.134433422,CG6428,FBgn0029689
Ugt,0.31554305,6.765457222,0.043308477,0.134913373,Ugt,FBgn0014075
CG9780,1.108782814,3.155042215,0.043432971,0.135254553,CG9780,FBgn0037230
CG4554,-0.483582261,4.219508757,0.043586728,0.135662848,CG4554,FBgn0034734
CG15611,0.419320746,5.532427075,0.043594116,0.135662848,CG15611,FBgn0034194
rn,-1.53831719,0.344318367,0.043738225,0.136064436,rn,FBgn0267337
CG9418,0.564960335,4.03020079,0.0437793,0.136145336,Hmg-2,FBgn0026582
CG11426,0.433739542,4.8651965,0.043795758,0.136149647,CG11426,FBgn0037166
CG12338,0.580984445,3.866278915,0.044009931,0.136768393,CG12338,FBgn0033543
CG4893,0.810200413,3.180625764,0.044089269,0.136967832,CG45057,FBgn0266417
CG5707,0.320552944,6.066402785,0.044104725,0.136968748,CG5707,FBgn0026593
CG10254,-0.300858565,6.28959901,0.044163799,0.137070333,CG10254,FBgn0027512
beat-IV,-0.477315643,4.480058503,0.044167782,0.137070333,beat-IV,FBgn0039089
Adar,-0.342016782,5.951396735,0.044277597,0.137363946,Adar,FBgn0026086
mRpL18,-0.528701438,3.906797408,0.044360113,0.137572695,mRpL18,FBgn0026741
CG13531,0.34442554,5.610449284,0.04458491,0.138222402,CG13531,FBgn0034786
Zpr1,0.439144569,4.761613553,0.044612472,0.138260401,Zpr1,FBgn0030096
CG11444,0.304643355,6.228534561,0.044662403,0.138314725,CG11444,FBgn0029715
krz,-0.336582348,5.905913426,0.044666167,0.138314725,krz,FBgn0040206
CG17883,-0.318427708,6.271468186,0.044675932,0.138314725,CG17883,FBgn0040005
CG41099,-0.297533066,6.895648428,0.044727233,0.138426114,CG41099,FBgn0039955
CG6398,-0.349518098,5.856663164,0.044758178,0.138462127,CG6398,FBgn0030870
Grip163,-0.47948927,4.241004866,0.044769523,0.138462127,Grip163,FBgn0026432
Tango2,0.706447709,3.122808041,0.044921154,0.138883542,Tango2,FBgn0030503
CG12730,-0.334495539,6.488195869,0.044952403,0.138932607,CG12730,FBgn0029771
RhoGAP102A,-0.478411097,4.304684137,0.044991882,0.139007066,RhoGAP102A,FBgn0259216
Sk1,0.310518391,7.526291313,0.045050186,0.139139618,Sk1,FBgn0030300
desert,-1.069495779,2.844898035,0.045112597,0.139284757,Fhos,FBgn0266084
CG32700,-1.214976513,1.16025422,0.045133219,0.139300821,CG32700,FBgn0267253
CG10635,-0.393992739,5.015213611,0.045181844,0.139403272,CG10635,FBgn0035603
CG9987,0.329211325,5.724732686,0.045220456,0.13947477,CG9987,FBgn0032781
CG4225,0.289960617,6.967007147,0.045349512,0.139825083,Hmt-1,FBgn0038376
DDB1,0.335657862,6.218582564,0.045392781,0.139877683,pic,FBgn0260962
cry,0.365161274,8.990531226,0.045397539,0.139877683,cry,FBgn0025680
CG6448,0.31226752,7.084955698,0.045474158,0.140065989,CG42748,FBgn0261802
CG31352,-0.344674283,5.62370201,0.045584259,0.140344152,Unc-115a,FBgn0051352
CG6299,0.338416388,5.820418704,0.045595537,0.140344152,CG6299,FBgn0030641
mts,-0.30009361,8.401794362,0.04571755,0.140637329,mts,FBgn0004177
mRpL37,-0.556516798,4.442480242,0.045729562,0.140637329,"CG42633 , mRpL37","FBgn0261356 , FBgn0261380"
CG31908,0.318793541,6.164294242,0.045745572,0.140637329,CG31908,FBgn0051908
sta,0.358498566,10.17809124,0.045772336,0.140637329,sta,FBgn0003517
CG13393,0.376707178,5.263218332,0.045778952,0.140637329,l(2)k12914,FBgn0263852
lig3,0.425925255,5.083545675,0.045795129,0.140637329,lig3,FBgn0038035
CG14010,0.45619216,4.796651606,0.045799759,0.140637329,CG14010,FBgn0031725
CG15747,-0.447386707,4.481895041,0.04587455,0.140819125,CG15747,FBgn0030474
CG34376,0.476366415,4.40913963,0.045925349,0.140872408,CG34376,FBgn0085405
CG14264,-0.991036241,1.44331713,0.045939392,0.140872408,CG42534,FBgn0260487
stau,-0.307285863,7.448549632,0.045940062,0.140872408,stau,FBgn0003520
CG4324,1.125350803,1.403217079,0.045954282,0.140872408,CG4324,FBgn0034956
CG3568,-0.945182192,2.004439064,0.046047076,0.141108984,CG3568,FBgn0029710
simj,-0.337206046,5.589979222,0.046077694,0.141113314,simj,FBgn0010762
Neurochondrin,1.270869641,2.426390266,0.04607973,0.141113314,Neurochondrin,FBgn0037447
CG5515,0.384194134,4.949949447,0.046224918,0.141509966,CG5515,FBgn0039163
CG8271,-0.344940314,5.910847423,0.046261823,0.141574971,Sln,FBgn0033657
nmdyn-D6,-0.954816617,1.511955621,0.046311737,0.141679726,nmdyn-D6,FBgn0030573
CG16820,1.241337299,2.033829594,0.046346948,0.141739448,CG16820,FBgn0032495
CG42233,0.64211412,3.245619895,0.046391403,0.141827389,CG42233,FBgn0250755
CG9611,0.32009206,6.173584979,0.046483337,0.142060373,f-cup,FBgn0028487
slif,-0.44899691,4.675212231,0.04652924,0.142152572,slif,FBgn0037203
CaMKI,-0.324752891,8.185596565,0.046612674,0.142345543,CaMKI,FBgn0016126
RpS28b,0.320766561,9.335313282,0.046623916,0.142345543,RpS28b,FBgn0030136
CG17267,-1.664472316,0.614337845,0.046742853,0.142637098,CG17267,FBgn0038821
CG11138,-0.326930915,6.263789167,0.046750991,0.142637098,CG11138,FBgn0030400
nwk,-0.383897353,6.559750715,0.046800314,0.142739378,nwk,FBgn0263456
CG5734,0.342117585,5.427509665,0.046836289,0.14280089,CG5734,FBgn0032191
CG7712,-0.304434205,6.827478617,0.046867675,0.142848371,CG7712,FBgn0033570
Lip3,-0.792606925,2.535271518,0.046904961,0.142913799,Lip3,FBgn0023495
CG30441,-1.142344229,1.076437345,0.046934614,0.142955935,CG30441,FBgn0050441
Rab7,-0.304660214,7.760209601,0.0469776,0.143038638,Rab7,FBgn0015795
CG7267,0.453881775,5.882299682,0.047038693,0.143141934,CG44325,FBgn0265413
CG14798,-0.803813523,2.475263107,0.047063884,0.143141934,CG14798,FBgn0029588
CG6766,0.315239592,6.48078141,0.047067721,0.143141934,CG6766,FBgn0032398
CG1233,0.319004362,5.833778849,0.047074904,0.143141934,CG1233,FBgn0035137
SmD3,0.405350738,4.955901544,0.047149947,0.143321878,SmD3,FBgn0023167
CG7920,0.30763417,9.38671503,0.047231588,0.143521751,CG7920,FBgn0039737
ATPsyn-beta,-0.342912184,10.63291701,0.04738156,0.143929055,ATPsyn-beta,FBgn0010217
CG1091,0.337802591,5.728383208,0.047506025,0.144258633,CG1091,FBgn0037470
alpha-Adaptin,-0.316452374,7.302634571,0.047587055,0.14444871,AP-2alpha,FBgn0264855
CG32260,-0.699225614,3.36031742,0.047600599,0.14444871,CG32260,FBgn0052260
apt,-0.557871992,3.910201726,0.047635468,0.144505982,apt,FBgn0015903
GstE3,0.394482518,8.400460541,0.047731735,0.144719029,GstE3,FBgn0063497
Oseg1,-0.307315885,6.265647224,0.047737736,0.144719029,Oseg1,FBgn0265102
Grip84,-0.415913969,4.968954165,0.047759871,0.144737562,Grip84,FBgn0026430
CG7168,0.471946118,4.387843518,0.047809288,0.144838736,CG7168,FBgn0038586
sec63,0.335744304,7.811215994,0.047870933,0.144976871,Sec63,FBgn0035771
CG5646,0.452819787,4.530908102,0.048021592,0.145384403,CG5646,FBgn0039525
Tsp3A,0.813100714,3.452162404,0.048056805,0.145442271,Tsp3A,FBgn0040334
CG7097,-0.309658688,6.634810718,0.048101409,0.145528511,hppy,FBgn0263395
CG15309,-0.376285633,5.124682859,0.048134709,0.145580503,CG15309,FBgn0030183
CG42248,-0.349233871,6.587256256,0.048330127,0.146122613,CG43867,FBgn0264449
CG18259,-0.664746817,3.574234145,0.048348929,0.146130555,CG18259,FBgn0030956
CG6287,0.32303214,8.192243857,0.048462738,0.146425545,CG6287,FBgn0032350
CG1970,-0.311295929,8.272952804,0.048661641,0.146977354,CG1970,FBgn0039909
Catsup,0.329445689,5.944645194,0.04871673,0.147094565,Catsup,FBgn0002022
CG7222,-0.388310883,4.853020122,0.048800258,0.147297537,CG7222,FBgn0033551
CG5484,0.338178494,5.448113654,0.048863689,0.147439734,CG5484,FBgn0039450
Atg18,0.300217845,6.092991729,0.048880295,0.147440594,Atg18a,FBgn0035850
CG13335,0.770547519,4.342742606,0.048923682,0.147522211,"CG42807 , CG42808","FBgn0261989 , FBgn0261990"
Ggamma1,-0.302283613,9.24722842,0.048982209,0.147607512,Ggamma1,FBgn0004921
del,-0.686410528,3.555101939,0.048984649,0.147607512,del,FBgn0086251
CG14864,-0.807296944,2.918164899,0.04901709,0.147656016,CG14864,FBgn0038311
CG30290,0.353178214,5.852429357,0.049098908,0.147838773,Ppcdc,FBgn0050290
alpha-Est5,0.991485646,2.045847422,0.049110489,0.147838773,alpha-Est5,FBgn0261393
CR41510,-0.735830369,3.000485232,0.049252073,0.1482156,CR41510,FBgn0085793
CG6084,0.409046229,6.223076373,0.049275019,0.148235273,CG6084,FBgn0086254
DebB,-0.619794292,3.186397419,0.049420523,0.148623503,SmF,FBgn0000426
CG4406,-0.350464631,5.497293267,0.04943929,0.148630464,CG4406,FBgn0023545
CG42239,-0.581614054,3.491779549,0.049635098,0.149169487,CG42239,FBgn0250868
prod,0.351711999,5.48896232,0.04967715,0.149246218,prod,FBgn0014269
CG4858,0.330754601,5.50624409,0.049700149,0.149265673,CG4858,FBgn0037011
Dredd,0.360171648,5.646815129,0.049735875,0.149323329,Dredd,FBgn0020381
CG30497,-0.305234931,7.620909919,0.049793257,0.149445942,CG30497,FBgn0050497
CG11380,-1.1932553,0.743562077,0.049841505,0.149541068,CG11380,FBgn0040359
CG10559,0.833806442,2.61955908,0.049894378,0.149608383,CG10559,FBgn0039323
CG5214,-0.327685902,8.241532017,0.049897062,0.149608383,CG5214,FBgn0037891
CG18604,-0.335577846,5.502124489,0.050068338,0.150072118,Sik3,FBgn0262103
rhi,-1.293687424,1.098010036,0.050180193,0.150357502,rhi,FBgn0004400
mmy,0.300229767,6.513935527,0.05042709,0.151047193,mmy,FBgn0259749
TyrR,-0.872240933,2.278935014,0.050511827,0.151250861,Oct-TyrR,FBgn0004514
CG8195,-0.329108147,5.419388581,0.050596018,0.151452758,CG8195,FBgn0034032
