Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
CG10898,-0.016060446,4.584266393,0.947777615,0.984818241,CG10898,FBgn0037911
sei,0.015269486,5.79632484,0.947890204,0.984818241,sei,FBgn0003353
ph-p,-0.010153276,6.030352373,0.947972041,0.984818241,ph-p,FBgn0004861
CG1381,-0.016769915,3.930218255,0.948183414,0.984924567,RpLP0-like,FBgn0033485
Fas3,0.009768138,6.247489166,0.948667683,0.98499322,Fas3,FBgn0000636
Cog3,-0.017814926,5.115427733,0.948689682,0.98499322,Cog3,FBgn0031536
galectin,0.010915466,6.819207375,0.948692663,0.98499322,galectin,FBgn0031213
CG11583,-0.022280482,4.017875873,0.948786001,0.98499322,CG11583,FBgn0035524
CG8915,-0.031160909,3.848655963,0.949075545,0.98499322,CG8915,FBgn0030833
CG15199,-0.081710149,1.282596507,0.949080639,0.98499322,CG15199,FBgn0030270
CG13875,0.056410154,1.789196219,0.949151336,0.98499322,CG13875,FBgn0035104
hk,0.010483791,6.5686561,0.949364104,0.98499322,hk,FBgn0001202
CG4945,0.074075391,1.52211063,0.949467992,0.98499322,CG4945,FBgn0034137
Vinc,0.009799869,6.599987161,0.949502232,0.98499322,Vinc,FBgn0004397
CG1646,0.013355743,6.870689247,0.949504934,0.98499322,CG1646,FBgn0039600
CG32473,-0.010613406,6.163732202,0.949601892,0.98499322,CG32473,FBgn0052473
RpS27,-0.011480981,9.000918728,0.949850636,0.98499322,RpS27,FBgn0039300
CG14341,0.015487786,3.965367265,0.949857114,0.98499322,CG14341,FBgn0031315
CG9883,0.070310978,1.658688662,0.950353015,0.98499322,Elba2,FBgn0031435
CG10641,0.010202165,5.5825214,0.950356695,0.98499322,Swip-1,FBgn0032731
SH3PX1,0.011088779,6.864038289,0.950416325,0.98499322,SH3PX1,FBgn0040475
l-2-dtl,-0.022195268,3.703663961,0.950418747,0.98499322,l(2)dtl,FBgn0013548
CG11906,-0.01587299,3.95309118,0.950452725,0.98499322,CG11906,FBgn0034425
bs,0.034220659,3.696429488,0.950459276,0.98499322,bs,FBgn0004101
CG5828,-0.024512681,3.971484844,0.950635813,0.98499322,CG5828,FBgn0031682
CG1791,-0.010944054,6.616265271,0.950790809,0.98499322,CG1791,FBgn0030163
ca,-0.009564972,7.34813938,0.951035332,0.98499322,ca,FBgn0000247
mRpL42,-0.019848951,4.094559023,0.951041957,0.98499322,mRpL42,FBgn0033480
ct,0.011849079,6.353769036,0.9510661,0.98499322,ct,FBgn0004198
CG3173,-0.009971798,5.625437457,0.951116809,0.98499322,IntS1,FBgn0034964
CG7861,-0.011380448,5.846416143,0.951193364,0.98499322,Tbce,FBgn0033055
Chd1,0.010114999,7.381480452,0.951329544,0.98502133,Chd1,FBgn0250786
CG33965,-0.067320233,1.539201314,0.951718543,0.985311176,CG33965,FBgn0053965
G-ialpha65A,-0.010198338,6.133796501,0.951834928,0.985318751,Galphai,FBgn0001104
kin17,-0.01845103,4.174528357,0.952154416,0.985454648,kin17,FBgn0024887
CG14550,0.021333199,4.009059215,0.952421415,0.985454648,CG14550,FBgn0039405
GABA-B-R2,-0.008801568,7.002696367,0.952435752,0.985454648,GABA-B-R2,FBgn0027575
Nnf1a,-0.051372709,1.808479691,0.952479232,0.985454648,Nnf1a,FBgn0034523
CG1972,-0.010689424,5.277521705,0.952511622,0.985454648,IntS11,FBgn0039691
Pbprp3,0.009866426,14.33661381,0.952770703,0.985560944,Obp83a,FBgn0011281
CG8866,0.01444262,5.231735353,0.952832553,0.985560944,CG8866,FBgn0037679
Ercc1,0.050185685,1.78815753,0.953298422,0.985826692,Ercc1,FBgn0028434
Sk2,0.018560168,4.783995525,0.953307724,0.985826692,Sk2,FBgn0052484
ush,-0.038319931,2.946111552,0.953592364,0.985919443,ush,FBgn0003963
CG9640,-0.020322996,3.846678232,0.953615684,0.985919443,CG9640,FBgn0034182
CG8885,-0.011677997,5.264118922,0.954032636,0.986237651,Scox,FBgn0262467
