batch	genotype	stage	n_counts	n_genes	PN_type	MARS	HDBSCAN	MARS_2way_matched	MARS_2way_matched_PN_type	lineage	X24h_HDBSCAN	matched_type_with_stage	mannually_matched	cell
2	GH146-GFP	48h	2669102	3569	nan	19	42	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P4_A21
2	GH146-GFP	48h	1848840	2418	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P4_A228
2	GH146-GFP	48h	2684115	2669	MARS_5	21	23	nan	nan	adPN	na	MARS_5: 48h	MARS_5	PN_48h_GH146_P4_A231
2	GH146-GFP	48h	2550043	3797	VA1d	17	10	10	VA1d	adPN	na	VA1d: 48h	VA1d	PN_48h_GH146_P4_A232
2	GH146-GFP	48h	2347239	3570	nan	9	40	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P4_A238
2	GH146-GFP	48h	2804071	2303	nan	19	-1	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P4_A240
2	GH146-GFP	48h	1649776	3479	VA5	13	54	26	VA5	lPN	na	VA5: 48h	VA5	PN_48h_GH146_P4_A242
2	GH146-GFP	48h	2150360	1121	nan	12	3	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P4_A248
2	GH146-GFP	48h	752788	568	nan	28	-1	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P4_A249
2	GH146-GFP	48h	542970	547	nan	1	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P4_A253
2	GH146-GFP	48h	2449828	891	nan	28	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P4_A255
2	GH146-GFP	48h	3181012	2832	MARS_2	5	-1	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A257
2	GH146-GFP	48h	2608089	1803	nan	14	1	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P4_A258
2	GH146-GFP	48h	2443964	3082	MARS_2	5	52	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A259
2	GH146-GFP	48h	1540337	2675	VA1d	17	10	10	VA1d	adPN	na	VA1d: 48h	VA1d	PN_48h_GH146_P4_A263
2	GH146-GFP	48h	2094146	3192	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A269
2	GH146-GFP	48h	1631160	3248	D	7	29	12	D	adPN	na	D: 48h	D	PN_48h_GH146_P4_A270
2	GH146-GFP	48h	2921857	2894	DA1_fru+	6	-1	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A277
2	GH146-GFP	48h	3447997	3744	MARS_19	15	-1	19	MARS_19		na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A278
2	GH146-GFP	48h	2328020	2835	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A284
2	GH146-GFP	48h	160251	1310	MARS_2	5	-1	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A287
2	GH146-GFP	48h	2653241	4046	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A292
2	GH146-GFP	48h	2595149	3816	vPN	10	11	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P4_A295
2	GH146-GFP	48h	3791315	3655	VA1v	8	7	6	VA1v	adPN	na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A299
2	GH146-GFP	48h	1902779	1188	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A302
2	GH146-GFP	48h	1724430	3529	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A305
2	GH146-GFP	48h	2783017	3838	DL1	25	36	8	DL1	adPN	na	DL1: 48h	DL1	PN_48h_GH146_P4_A310
2	GH146-GFP	48h	2064842	3318	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A312
2	GH146-GFP	48h	1546064	1828	nan	19	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P4_A313
2	GH146-GFP	48h	2809737	2478	MARS_2	5	52	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A316
2	GH146-GFP	48h	1380773	4905	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A320
2	GH146-GFP	48h	1992074	4160	MARS_19	15	-1	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A321
2	GH146-GFP	48h	2305627	3457	vPN	10	11	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P4_A322
2	GH146-GFP	48h	459249	810	nan	28	54	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P4_A326
2	GH146-GFP	48h	1279204	612	nan	28	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P4_A341
2	GH146-GFP	48h	1720738	1580	nan	14	1	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P4_A344
2	GH146-GFP	48h	1661999	2953	vPN	20	2	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P4_A67
2	GH146-GFP	48h	1572132	4244	MARS_19	15	-1	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A68
2	GH146-GFP	48h	3323117	3794	VA6	23	46	0	VA6	adPN	na	VA6: 48h	VA6	PN_48h_GH146_P4_A71
2	GH146-GFP	48h	768508	2746	nan	19	42	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P4_A74
2	GH146-GFP	48h	1889330	4003	nan	9	40	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P4_A7
2	GH146-GFP	48h	1402996	1322	DM6	28	8	nan	nan	adPN	na	DM6: 48h	DM6	PN_48h_GH146_P4_A82
2	GH146-GFP	48h	2378272	2417	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P4_A84
2	GH146-GFP	48h	2671927	3182	VM7 or VM5v #1	11	13	3	VM7 or VM5v #1	adPN	na	VM7 or VM5v #1: 48h	VM7 or VM5v #1	PN_48h_GH146_P4_A93
2	GH146-GFP	48h	2716494	3490	VA1v	8	7	6	VA1v	adPN	na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A99
2	GH146-GFP	48h	708845	3534	nan	19	42	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_A10
2	GH146-GFP	48h	904877	2049	nan	14	1	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P6_A21
2	GH146-GFP	48h	736365	3655	APL	3	14	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_A23
2	GH146-GFP	48h	270140	554	nan	28	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_A2
2	GH146-GFP	48h	799096	3965	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P6_A5
2	GH146-GFP	48h	517050	1446	nan	17	-1	10	VA1d		na	nan: 48h	nan	PN_48h_GH146_P6_A9
2	GH146-GFP	48h	1143445	3928	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P6_B10
2	GH146-GFP	48h	784243	2383	nan	14	1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_B11
2	GH146-GFP	48h	125574	855	nan	1	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_B18
2	GH146-GFP	48h	363102	1199	nan	12	45	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_B21
2	GH146-GFP	48h	1704385	4126	MARS_19	15	16	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P6_B4
2	GH146-GFP	48h	1942892	3515	MARS_25	4	54	25	MARS_25	lPN	na	MARS_25: 48h	MARS_25	PN_48h_GH146_P6_B5
2	GH146-GFP	48h	377974	1340	VM2	29	13	13	VM2		na	VM2: 48h	VM2	PN_48h_GH146_P6_B6
2	GH146-GFP	48h	1183819	3165	vPN	10	11	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P6_B8
2	GH146-GFP	48h	529402	1542	nan	28	1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_C10
2	GH146-GFP	48h	900382	1878	nan	19	41	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_C11
2	GH146-GFP	48h	535599	4479	VM7 or VM5v #1	11	13	3	VM7 or VM5v #1	adPN	na	VM7 or VM5v #1: 48h	VM7 or VM5v #1	PN_48h_GH146_P6_C18
2	GH146-GFP	48h	410610	4262	nan	19	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_C1
2	GH146-GFP	48h	200343	2282	nan	1	44	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P6_C21
2	GH146-GFP	48h	669752	4279	DA1_fru-	16	57	23	DA1_fru-	lPN	na	DA1_fru-: 48h	DA1_fru-	PN_48h_GH146_P6_C22
2	GH146-GFP	48h	420648	3897	DA1_fru-	16	57	23	DA1_fru-	lPN	na	DA1_fru-: 48h	DA1_fru-	PN_48h_GH146_P6_C4
2	GH146-GFP	48h	920649	1140	nan	12	41	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_D10
2	GH146-GFP	48h	283891	4247	MARS_5	21	23	nan	nan	adPN	na	MARS_5: 48h	MARS_5	PN_48h_GH146_P6_D3
2	GH146-GFP	48h	145122	3171	nan	21	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_E18
2	GH146-GFP	48h	425161	4496	VM7 or VM5v #1	11	13	3	VM7 or VM5v #1	adPN	na	VM7 or VM5v #1: 48h	VM7 or VM5v #1	PN_48h_GH146_P6_E19
2	GH146-GFP	48h	581053	633	nan	12	3	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P6_E4
2	GH146-GFP	48h	422259	734	nan	1	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_E6
2	GH146-GFP	48h	1181933	1221	VA1v	1	-1	nan	nan		na	VA1v: 48h	VA1v	PN_48h_GH146_P6_E7
2	GH146-GFP	48h	327931	544	nan	28	-1	nan	nan	APL	na	nan: 48h	nan	PN_48h_GH146_P6_F11
2	GH146-GFP	48h	1712503	4411	MARS_2	5	52	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P6_F17
2	GH146-GFP	48h	617920	1153	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P6_F3
2	GH146-GFP	48h	1777510	1070	APL	1	34	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_F6
2	GH146-GFP	48h	1358468	4511	VM2	29	12	13	VM2		na	VM2: 48h	VM2	PN_48h_GH146_P6_F7
2	GH146-GFP	48h	1319723	2593	nan	19	-1	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P6_F8
2	GH146-GFP	48h	745059	1518	nan	19	-1	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P6_G10
2	GH146-GFP	48h	1367895	4020	VM7 or VM5v #1	11	13	3	VM7 or VM5v #1	adPN	na	VM7 or VM5v #1: 48h	VM7 or VM5v #1	PN_48h_GH146_P6_G13
2	GH146-GFP	48h	216162	1069	nan	1	43	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_G17
2	GH146-GFP	48h	147866	1664	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P6_G21
2	GH146-GFP	48h	328943	4572	VA5	13	54	26	VA5	lPN	na	VA5: 48h	VA5	PN_48h_GH146_P6_G23
2	GH146-GFP	48h	1216246	2817	APL	3	14	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_H9
2	GH146-GFP	48h	642473	3192	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P6_I14
2	GH146-GFP	48h	252775	4298	D	7	29	12	D	adPN	na	D: 48h	D	PN_48h_GH146_P6_I1
2	GH146-GFP	48h	173796	3089	APL	27	34	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_I3
2	GH146-GFP	48h	590252	3442	APL	27	34	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_I4
2	GH146-GFP	48h	442755	849	nan	1	53	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_I7
2	GH146-GFP	48h	1685355	2422	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P6_I8
2	GH146-GFP	48h	610750	869	nan	28	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_J11
2	GH146-GFP	48h	879856	4403	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P6_J16
2	GH146-GFP	48h	2474155	3881	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2		na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P6_J8
2	GH146-GFP	48h	186128	3521	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2		na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P6_J9
2	GH146-GFP	48h	2281344	3935	vPN	10	11	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P6_K18
2	GH146-GFP	48h	668170	3595	APL	27	34	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P6_K21
2	GH146-GFP	48h	390707	700	nan	12	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_K2
2	GH146-GFP	48h	757388	2888	vPN	20	4	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P6_K7
2	GH146-GFP	48h	1261177	2734	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P6_K8
2	GH146-GFP	48h	331397	2591	VC2	26	55	16	VC2	lPN	na	VC2: 48h	VC2	PN_48h_GH146_P6_M19
2	GH146-GFP	48h	1459623	1118	nan	28	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_M21
2	GH146-GFP	48h	528807	2083	nan	19	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P6_M2
2	GH146-GFP	48h	194333	572	nan	28	-1	nan	nan	vPN	na	nan: 48h	nan	PN_48h_GH146_P6_M4
2	GH146-GFP	48h	3027900	3571	DC3	0	10	20	DC3	adPN	na	DC3: 48h	DC3	PN_48h_GH146_P6_N16
2	GH146-GFP	48h	520233	559	nan	28	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P6_N18
