all_types	stage	cell
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A172-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_D11-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_D12-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P3_D13-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_D14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_D16-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P4_A226-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_K6-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_K1-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_K3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A146-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P5_A147-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P1_K9-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P1_K8-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P7_A315-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_L6-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P4_A221-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_E12-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_A11-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P4_A335-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A177-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_A16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_A19-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_E14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A338-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_K18-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P7_A169-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_K10-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_K11-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P2_K15-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_C3-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P4_A296-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_L7-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P4_A294-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_C7-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_C6-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_L3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A290-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_C9-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_C8-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P4_A202-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_E1-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_E6-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A205-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A208-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P4_A209-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_E9-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P7_A95-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_A19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A90-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A93-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P3_J1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_J3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_J4-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_J6-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_F12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_F10-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_F17-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_F16-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_F18-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P1_B22-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_L12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A355-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P1_H2-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P6_A358-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A75-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_M24-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_A18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_A19-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P6_A2-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_A15-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_A16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_A17-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_L20-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P2_L1-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P5_A276-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A47-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P4_A46-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A272-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A273-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A270-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A42-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P5_A279-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_O24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_O22-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P3_O20-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P7_A261-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_K18-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_K17-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_K16-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A219-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A218-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A43-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_J10-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P1_J11-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P1_J12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_J13-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P6_A215-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P6_A214-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_J17-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_E15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D11-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_E11-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P3_E10-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_D14-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P3_E12-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P6_A181-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P4_A190-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_D18-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_F7-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_E19-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P3_E18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A187-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P6_A186-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A192-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P7_A210-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A218-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P7_A219-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_O8-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P4_A2-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P5_A26-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_E16-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P4_A6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_O1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A9-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_O5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_D7-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P1_O7-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_O6-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_D23-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_A18-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_F2-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P3_H24-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P6_A131-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P1_F8-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P5_A123-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P6_A81-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_K5-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_D2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_J16-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P6_A238-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_J12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_J10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A12-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_J19-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_H3-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P1_C7-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A244-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A245-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P4_A242-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P4_A243-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A284-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P4_A361-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A360-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A301-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P5_A337-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A230-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A368-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_A1-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P4_A145-0-0
