all_types	stage	cell
DM1	24h	ORNcell_24h_ElavCD8GFP_P7_A116-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P7_A112-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_C13-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_C17-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P2_C14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_C18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A325-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A247-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P5_A125-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A243-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_M3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A233-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A339-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_D5-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P6_A333-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P6_A239-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A331-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P7_A257-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_M18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_G4-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A169-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P2_M10-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_M11-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_M17-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P7_A235-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P6_A285-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_A7-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_A6-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_A5-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_A4-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_A3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A148-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_A1-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_H14-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A146-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_H13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_H10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A142-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_P3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_F1-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P4_A271-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P3_P24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H11-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H12-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_H15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H14-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P2_H17-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_H16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_H18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A68-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_J6-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_J8-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_J9-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_M19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_L5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_N9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_M15-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_B23-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_M16-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P7_A301-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P7_A302-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P3_M12-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_F9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A77-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P5_A73-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_G19-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P1_G12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G17-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A309-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P4_A308-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P5_A173-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P1_L24-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P5_A177-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P4_A301-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P1_M22-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A303-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A302-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A305-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I20-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P4_A307-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_P14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A25-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_P17-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A22-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P5_A218-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P5_A219-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_P19-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P3_B1-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P4_A123-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_M9-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P4_A125-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P4_A127-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P3_B7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A128-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A282-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P2_M1-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P4_A284-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P2_M7-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P2_M4-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_M5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A235-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_F6-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_F4-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P2_F3-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P4_A230-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A233-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P4_A232-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A239-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A238-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P4_A293-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A68-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P7_A69-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_G23-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P4_A304-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P7_A157-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_L20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_M5-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_M4-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_M7-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P4_A219-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_M3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_K3-0-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_F16-1-0
DA1	adult	ORN_10day_nuclei_P3_G9-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P7_N8-1-0
D	adult	ORNnuclei_adult_nSybUNC84GFP_P3_K16-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_J2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O24-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_L17-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P10_F16-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P9_E9-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_E10-1-0
NaN	adult	ORN_10day_nuclei_P2_H18-1-0
DM2	adult	ORN_10day_nuclei_P2_D23-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_F7-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_G22-1-0
VP1l_VP3	adult	ORNnuclei_adult_nSybUNC84GFP_P7_M16-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_D10-1-0
DA1	adult	ORN_10day_nuclei_P3_H9-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P10_K22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O21-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_I15-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_M15-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_E14-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_J22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_P17-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_I16-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_G1-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_M7-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_N14-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P2_E8-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_I8-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G1-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H19-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_B10-1-0
DA1	adult	ORN_10day_nuclei_P3_N21-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P7_M2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_E21-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_P6-1-0
NaN	adult	ORN_10day_nuclei_P3_M13-1-0
VM3_VA5	adult	ORN_10day_nuclei_P2_J9-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P2_M5-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_H3-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P9_E8-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_M8-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P9_B14-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_N15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_B10-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_G7-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_L22-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P6_I15-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P7_N17-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P1_N8-1-0
VA1v	adult	ORN_10day_nuclei_P2_B21-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_D11-1-0
DL3	adult	ORN_10day_nuclei_P2_J3-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L11-1-0
VP4_VP1d_VP2	adult	ORN_10day_nuclei_P2_G9-1-0
VA1v	adult	ORN_10day_nuclei_P3_H6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L23-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O1-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P8_M23-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P7_C17-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P8_O5-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_A9-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P1_A13-1-0
DM4	adult	ORN_10day_nuclei_P2_E21-1-0
VA1v	adult	ORN_10day_nuclei_P2_H6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_J19-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P9_C23-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P8_L2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_N4-1-0
NaN	adult	ORN_10day_nuclei_P2_C23-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P7_H6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K2-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K16-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K2-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P2_A6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_B5-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_N2-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P9_F16-1-0
DL2d/v_DP1l_VC3l	adult	ORN_10day_nuclei_P3_J10-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_E21-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_N5-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P2_J18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_D9-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_L7-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B8-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H20-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_F3-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_A9-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P8_L22-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P2_N10-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_J9-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M1-1-0
VA1d	adult	ORN_10day_nuclei_P2_F17-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_I13-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_A19-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_B6-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P3_O2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K15-1-0
VP1l_VP3	adult	ORNnuclei_adult_nSybUNC84GFP_P1_O6-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_L12-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_I6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_A13-1-0
DP1m_DC4	adult	ORN_10day_nuclei_P2_K15-1-0
DL3	adult	ORN_10day_nuclei_P3_O20-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_D4-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_I3-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_L18-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_L4-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_C7-1-0
DL2d/v_DP1l_VC3l	adult	ORN_10day_nuclei_P2_I15-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_E8-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_O11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_D18-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_F23-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_K18-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_D22-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P10_M2-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B7-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_O6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B1-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P1_F17-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_C2-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O7-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J9-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_J8-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_E22-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P1_O14-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I24-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P10_H2-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G11-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_P7-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_H3-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K3-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K6-1-0
NaN	adult	ORN_10day_nuclei_P3_B20-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_O18-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J12-1-0
DA1	adult	ORN_10day_nuclei_P3_A11-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_N24-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_C16-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G9-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P10_O19-1-0
DM4	adult	ORN_10day_nuclei_P3_N22-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G4-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K9-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P7_E5-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P6_F20-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_G5-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_I13-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G23-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_D22-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_I19-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P3_P9-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H9-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L20-1-0
NaN	adult	ORN_10day_nuclei_P3_P9-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H3-1-0
VA1d	adult	ORN_10day_nuclei_P3_F15-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P1_I1-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P8_B3-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_A24-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H6-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_D12-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_O3-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B4-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P7_A7-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B17-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K7-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_I1-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_J10-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_P7-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P2_F24-1-0
NaN	adult	ORN_10day_nuclei_P2_O19-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_N20-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_F9-1-0
VP1l_VP3	adult	ORN_10day_nuclei_P2_C10-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_K15-1-0
NaN	adult	ORN_10day_nuclei_P2_K12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_H2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_D2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O20-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_N3-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P9_N4-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P9_H8-1-0
DM1	adult	ORN_10day_nuclei_P2_O9-1-0
NaN	adult	ORN_10day_nuclei_P3_H20-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_H14-1-0
NaN	adult	ORN_10day_nuclei_P3_D21-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_J9-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_J15-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_M7-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_D24-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_L18-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I15-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_J10-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_H2-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G7-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P9_M7-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P1_M11-1-0
DM2	adult	ORN_10day_nuclei_P2_F10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P7_L4-1-0
NaN	adult	ORN_10day_nuclei_P2_P9-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_C19-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_K13-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_N15-1-0
DC1	adult	ORN_10day_nuclei_P3_F20-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_D4-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_J16-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K21-1-0
VA1v	adult	ORN_10day_nuclei_P2_G1-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P8_G3-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G10-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_J2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_M4-1-0
DM1	adult	ORN_10day_nuclei_P3_C3-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_E7-1-0
NaN	adult	ORN_10day_nuclei_P2_E1-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_L9-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K10-1-0
DP1m_DC4	adult	ORN_10day_nuclei_P2_F2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_O7-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_E20-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_I6-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_J16-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K16-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P7_K22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_K10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G10-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_O12-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_L6-1-0
D	adult	ORNnuclei_adult_nSybUNC84GFP_P7_H23-1-0
