symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
Ddc,5.151951792,4.78986996,4.871625593,10.13623266,9.957267543,10.11577051
SmF,5.624424049,5.81416656,5.946972921,3.315215075,3.456842771,2.452924959
1-Dec,0,1.467766366,0.075540634,0.066775902,0.543803643,0
Dfd,0.174348395,0.300531207,0,0,0,0.102682134
Pkg21D,0.132696544,0.041172495,0.075540634,0,0,0.317180035
Dhod,5.900525648,6.032784998,6.205263766,6.21641113,5.818279119,6.089150193
Hr46,5.78680144,6.135568617,5.870827168,2.927629603,2.901184484,2.663543995
ect,2.029598029,0.632309912,1.924215439,0,0.043373527,0.035045714
Dip-B,9.146395586,9.034793184,9.100769674,7.033603161,6.985442219,6.65546519
Dip-C,5.914419054,5.688604814,5.971899107,5.242470014,5.093624097,5.65956543
disco,0.743632778,1.14788529,0.620641262,1.344621878,1.090356876,0.426801509
Dl,0.900774972,0.632309912,0.460785459,0.2787941,0.043373527,0.400167095
Lar,6.165479718,6.164969879,6.092726764,5.866550196,6.175852411,5.919594337
Cyp6a2,1.327308948,2.493636113,2.251843045,2.085791568,2.699047714,2.317149106
DNaseII,2.571798784,2.661464504,2.660341949,1.111464636,0.937812835,1.520440304
dnc,8.433007899,8.26887456,8.063510939,9.426483092,9.306810158,9.399725642
dor,5.553195771,4.965898029,4.887433145,4.876599478,4.565408445,4.783029229
Pka-C3,1.191907582,1.512369747,1.630628187,2.336405564,2.303685542,2.80223397
dpp,1.251499213,0.945900736,0.343441058,0,0.279346616,0.669156436
Dr,1.04246964,0.460843657,0.075540634,1.232748274,1.110889535,1.748706671
ds,0.567258051,0.71096088,0.343441058,0.161479554,0,0.102682134
dsh,2.106919896,1.421739881,2.097309615,1.52167906,1.354202323,1.672853741
Dsk,0.743632778,0.490874211,1.053192621,3.566634217,4.518150128,3.658866496
dsx,0.567258051,0.266214546,0.403305984,0.099039483,0.450220187,1.091603205
dwg,5.34327047,4.788359351,4.986164604,5.432492905,5.04510418,5.514227252
dx,3.891514911,3.653047458,2.060599064,1.950876008,1.069527769,1.307636778
e,0,0.520292387,1.964515325,2.771237182,3.169352823,1.627648623
bsh,1.596057418,0.901874222,0,1.762288373,2.22109989,1.108154106
ea,1.363770477,1.390218998,1.261622271,3.197223064,4.172372889,3.466890562
eag,4.539454264,4.862016605,4.30456873,5.152139286,5.304407411,5.349983312
eas,6.725892164,7.004913634,7.011746358,6.186225382,6.258694683,6.279274427
E(bx),4.9221867,5.372040301,5.363017431,5.653616696,4.896322639,5.266736495
ec,0.401779573,0.300531207,0.460785459,0.221328946,0.126394328,1.417958665
ecd,6.185988007,6.042322282,5.854835596,5.926211697,5.797054132,6.2911011
EcR,7.113518723,7.02429395,6.957243159,7.331799105,7.103809668,7.150195678
ed,4.455366818,5.18608512,4.789880474,4.231794911,4.741979047,4.571050629
Edg78E,0,0,0,0,0.126394328,0
Edg84A,1.251499213,1.665042273,0.620641262,2.085791568,1.354202323,2.352309697
Ef1alpha48D,8.599918937,8.665359618,8.640663558,8.837821434,9.000282158,9.130772427
Ef1alpha100E,12.45893814,12.30328461,12.19231442,11.64956212,11.68929778,11.46146163
EF2,10.26476927,10.14735915,10.11590272,9.731404193,9.843062314,9.707703824
egl,4.449017284,4.571885163,4.28481103,5.181627372,5.141812894,5.508783607
Eh,0.329880465,0.736253047,1.727485453,0.53610018,0.126394328,0.669156436
Eip71CD,4.338857834,4.879148533,4.565899749,5.285161209,4.905166643,5.035357762
Eip55E,6.963081269,7.238848286,7.245886813,6.274510134,6.114895733,6.504621671
Eip74EF,4.970274004,5.601827238,5.414838452,3.116779697,3.816947098,3.049357066
Eip75B,8.988075579,8.317208375,8.25439373,7.850848477,7.771629725,7.704476185
emc,8.292312258,8.605284774,8.318473244,8.147383512,8.093567305,8.337461013
ems,0.045601845,0.967420201,0,0.670992382,0.166179293,0
en,0,0.158077041,0.147321929,0.221328946,0.24260175,0
ena,7.548397808,6.720423661,6.607208131,5.271070711,5.799427943,5.706516388
Eno,9.02064275,8.86970298,8.835066031,11.42910469,11.4787164,11.40539966
E(Pc),5.172651909,5.440962116,5.247320764,5.356959645,5.475475354,5.724072008
esc,0.743632778,0.266214546,0.764538089,0.692297297,1.485799341,0.988100422
Est-6,0,0,0.620641262,0,1.676941004,0.035045714
Est-P,0.687203533,0.785544823,0.403305984,0.19171458,0.417626289,0.646672929
